"meanBitLifeTimePerPacket:vector MainTest.ue[0].app[0].sink ($numUEs=3, #0 - UDPDownlink-0-20240718-14:54:14-12568)",
0.0023125,0.002312499999999999
0.050375,0.000375
0.100375,0.000375
0.150375,0.000375
0.20075,0.00075
0.250375,0.000375
0.30075,0.00075
0.350375,0.000375
0.401,0.001
0.450375,0.000375
0.500375,0.000375
0.550375,0.000375
0.600375,0.000375
0.650375,0.000375
0.700375,0.000375
0.751125,0.001124999999999999
0.800625,0.000624999999999999
0.850375,0.000375
0.900375,0.000375
0.950375,0.000375
1.000375,0.000375
1.050375,0.000375
1.10075,0.00075
1.150375,0.000375
1.201,0.001
1.250375,0.000375
1.300375,0.000375
1.35075,0.00075
1.40075,0.00075
1.450375,0.000375
1.500375,0.000375
1.550375,0.000375
1.600625,0.000624999999999999
1.650375,0.000375
1.700375,0.000375
1.75075,0.00075
1.800375,0.000375
1.850375,0.000375
1.900375,0.000375
1.950375,0.000375
2.000625,0.000624999999999999
2.050375,0.000375
2.100375,0.000375
2.150375,0.000375
2.200375,0.000375
2.25075,0.00075
2.30075,0.00075
2.350375,0.000375
2.400625,0.000624999999999999
2.450375,0.000375
2.500375,0.000375
2.550375,0.000375
2.600375,0.000375
2.650375,0.000375
2.700375,0.000375
2.750375,0.000375
2.800625,0.000624999999999999
2.850375,0.000375
2.900375,0.000375
2.950375,0.000375
3.000375,0.000375
3.050375,0.000375
3.100375,0.000375
3.150375,0.000375
3.200625,0.000624999999999999
3.250375,0.000375
3.30075,0.00075
3.350375,0.000375
3.400375,0.000375
3.450375,0.000375
3.500375,0.000375
3.550375,0.000375
3.600625,0.000624999999999999
3.650375,0.000375
3.700375,0.000375
3.750375,0.000375
3.800375,0.000375
3.850375,0.000375
3.900375,0.000375
3.950375,0.000375
4.000625,0.000624999999999999
4.050375,0.000375
4.100375,0.000375
4.150375,0.000375
4.200375,0.000375
4.250375,0.000375
4.300375,0.000375
4.350375,0.000375
4.400625,0.000624999999999999
