"rcvdSinrDl:vector MainTest.ue[0].cellularNic.nrChannelModel[0] ($numUEs=3, #0 - UDPDownlink-0-20240718-10:23:11-9555)",
0.002125,23.53976448112700115
0.0501875,23.53976448112700115
0.1001875,22.1437330742460005
0.1501875,24.82159940306999595
0.2001875,13.36557197571899986
0.2005625,15.26945693489399852
0.2501875,23.56686285757400147
0.3001875,15.23462569815799833
0.3005625,24.5001053576689997
0.3501875,23.58040160279200127
0.4004375,18.20596704087999731
0.4008125,23.86756475048399992
0.4501875,23.59393320919500062
0.5001875,18.07405591590499931
0.5501875,21.1123315184749955
0.6001875,22.31588419302799757
0.6501875,21.42484355813899543
0.7001875,23.13310590362599572
0.7501875,17.37860996700799626
0.7505625,21.36023480604399785
0.7509375,21.36023480604399785
0.8004375,22.03191958302299712
0.8501875,22.36827682390499907
0.9001875,21.57335715524699531
0.9501875,23.37822451898299637
1.0001875,20.53027555932399643
1.0501875,19.84935405770999487
1.1001875,21.20982619300200147
1.1005625,20.38232448920499696
1.1501875,23.6884432379100004
1.2004375,17.90045316180599847
1.2008125,18.95722407566699978
1.2501875,27.22231554484999792
1.3001875,24.7103633427939967
1.3501875,23.3515620135800005
1.3505625,24.9615277400990009
1.4001875,24.89433687209799462
1.4005625,23.81722435769199807
1.4501875,27.24922952090599885
1.5001875,29.5058973307429965
1.5501875,24.04149310724499587
1.6004375,26.9400282266079997
1.6501875,22.29030842296499765
1.7001875,24.7588766092680003
1.7501875,21.19685325262999945
1.7505625,25.01528616859999932
1.8001875,21.70084763114800087
1.8501875,21.08259645581199487
1.9001875,22.73425731420299901
1.9501875,24.79195435426399985
2.0004375,25.14953863740599607
2.0501875,25.28182944906399842
2.1001875,22.17171530643700087
2.1501875,25.8194410158410007
2.2001875,24.63042581102699545
2.2501875,21.87074393278799522
2.2505625,25.08227866409399797
2.3001875,23.8758304745099962
2.3005625,24.57083063947600002
2.3501875,27.36989734270699855
2.4004375,23.67187136132999815
2.4501875,33.6944837455390028
2.5001875,31.86378941909600102
2.5501875,40.53574966958299782
2.6001875,36.68376103285999067
2.6501875,34.7908638628559997
2.7001875,30.53479936721599575
2.7501875,34.1665714307499967
2.8004375,31.6248181778749994
2.8501875,32.40526465767899807
2.9001875,32.33204904247699562
2.9501875,30.38561748493199832
3.0001875,34.1471775612040032
3.0501875,32.47405958552700145
3.1001875,33.64068784020699342
3.1501875,29.15697165204699802
3.2004375,40.2553262304849964
3.2501875,35.90679358676699437
3.3001875,28.23793084911599737
3.3005625,33.54246833552899417
3.3501875,34.63917005583199667
3.4001875,35.26886084772299037
3.4501875,32.80001352321799842
3.5001875,33.37109410788399077
3.5501875,37.85113306610399757
3.6004375,34.80505953523299912
3.6501875,36.03128843006498967
3.7001875,37.11307376031899687
3.7501875,44.7905461756329968
3.8001875,39.49989747471398957
3.8501875,32.15213752151699102
3.9001875,38.36762674308999962
3.9501875,33.07832786362300212
4.0004375,40.35006100780199732
4.0501875,39.22745250526999412
4.1001875,32.5097544980189922
4.1501875,33.6403357066359943
